5562;461288
5579;352345
5592;487594
5603;225465
5614;69073
5620;265782
5634;222270
5652;344497
5655;54839
5656;197350
5663;362972
5666;466866
5667;300911
5677;365995
5686;325702
5694;493274
5696;132578
5700;158571
5702;57155
5712;160206
5727;420828
5728;457352
5749;369996
5753;136041
5760;43978
5769;497949
5782;32898
5795;74429
5798;183200
5807;47862
5816;451289
5825;451612
5866;324542
5875;340895
5880;95054
5884;51512
5886;170655
5889;393439
5904;353137
5906;251810
5922;496893
5937;432977
5938;393246
5940;289348
5943;378001
5946;67119
5971;351042
6013;303019
6021;163644
6027;423659
6028;255330
6030;393921
6039;353325
6047;332953
6095;222716
6109;418349
6124;24114
6126;480531
6134;270004
6143;92058
6144;326155
6149;480332
6154;353636
6162;2700
6170;446402
6189;302720
6197;9656
6209;481717
6212;86294
6223;405827
6234;84719
6267;190140
6269;403781
6278;188093
6287;64261
6309;314162
6315;459397
6316;292694
6320;432303
6329;376829
6335;142715
6337;227654
6349;355838
6353;450969
6355;393344
6363;439036
6374;85725
6387;261918
6405;122904
6408;339699
6414;296844
6423;356910
6441;360676
6451;348095
6459;73789
6470;130627
6477;345169
6488;283063
6523;107060
6530;11825
6534;330637
6540;436511
6563;171179
6565;441400
6587;166292
6588;273722
6601;32640
6611;83180
6618;315097
6627;299724
6630;81162
6633;373868
6640;175172
6653;323374
6661;82172
6677;176215
6681;451388
6699;191110
6727;27976
6745;362672
6746;175875
6759;194018
6761;275198
6780;443586
6795;361662
6812;57216
6820;330633
6821;348036
6825;77072
6838;473750
6839;90012
6851;31891
6853;41774
6863;59774
6865;364735
6869;44435
6873;315161
6875;472210
6881;287974
6898;425866
6901;201632
6902;214655
6916;483149
6918;482891
6930;375992
6959;228944
6966;264158
6993;392667
6994;371644
6996;219391
7008;63709
7010;20863
7023;388167
7026;251183
7034;425374
7046;119323
7075;99446
7079;4770
7105;192104
7109;433867
7112;437187
7125;193659
7148;422737
7157;18775
7160;107520
7165;107900
7177;16180
7197;164838
7214;453592
7220;436126
7232;147216
7234;150571
7264;322029
7291;30966
7308;462481
7309;307115
7347;59163
7356;98314
7357;444669
7369;39195
7408;70302
7412;210818
7417;158198
7419;37181
7422;433515
7423;17429
7425;339076
7431;228547
7447;407217
7451;3491
7452;315769
7455;352931
7457;474576
7463;334231
7465;364050
7469;199082
7475;269284
7482;362422
7483;174510
7484;339000
7500;300419
7513;343602
7524;387859
7532;47334
7534;237783
7539;106091
7548;440964
7565;201971
7567;376536
7591;118716
7622;155467
7633;403550
7635;52851
7640;455402
7653;8999
7659;353993
7667;370647
7670;290427
7676;246067
7697;406991
7703;377562
7705;468994
7707;325685
7714;413558
7717;486927
7719;173479
7721;8374
7729;455482
7732;123823
7734;468617
7768;412810
7772;65524
7782;74804
7784;466873
7787;399828
7790;317136
7798;208310
7830;84325
7834;38368
7845;256919
7847;230940
7857;382818
7870;321196
7884;330192
7889;361525
7897;194698
7923;402773
7935;333326
7950;342598
7955;93103
7984;237965
8019;356398
8026;11323
8028;122062
8051;216817
8074;240449
8076;267854
8079;450953
8081;150687
8091;339921
8106;116201
8108;67170
8124;359285
8146;200705
8163;415019
8166;96660
8168;218920
8183;449650
8188;152957
8191;175954
8244;493833
8260;122661
8263;84349
8266;7764
8267;182094
8270;25690
8275;373118
8306;300040
8309;162823
8311;337177
8314;468131
8316;247204
8317;200540
8318;463229
8329;73923
8344;433692
8352;49323
8355;282993
8357;47506
8364;133196
8383;116613
8408;174140
8424;341901
8425;131164
8450;277723
8452;394345
8465;191168
8486;298753
8521;330106
8546;335875
8550;204712
8564;266181
8571;175357
8574;93884
8589;325477
8593;343383
8595;50300
8602;357284
8603;223629
8630;495142
8631;353042
8634;368140
8653;112684
8661;29882
8680;67284
8697;479430
8706;190059
8707;416494
8720;219250
8722;190149
8733;125906
8734;415979
8747;45474
8749;94150
8752;433134
8764;72669
8779;340291
8783;121531
8794;436344
8801;218894
8803;5816
8808;90688
8809;471652
8817;34830
8843;131076
8881;257825
8882;79906
8896;420264
8915;463898
8917;247201
8931;302901
8942;389940
8947;150891
8948;241200
8961;498758
8979;229952
8983;409919
8985;199669
8998;243373
9007;453698
9012;69669
9031;305518
9032;262349
9040;241536
9044;29067
9046;101376
9053;349078
9064;199063
9069;33260
9129;497499
9132;191297
9141;47145
9146;458299
9152;351482
9158;308064
9161;71772
9186;417773
9188;427466
9190;406920
9196;181577
9208;495922
9213;174276
9228;352481
9229;190744
9239;469542
9253;10523
9257;312871
9263;121716
9276;118749
9279;322281
9284;210905
9320;107777
9323;58744
9324;262535
9326;257895
9341;256467
9346;100503
9352;263266
9361;354459
9399;33523
9417;121162
9423;411061
9428;36120
9441;97073
9442;327268
9457;273982
9461;351463
9465;93208
9472;398984
9510;121800
9547;304745
9573;33994
9580;186080
9582;129365
9587;477762
9589;128759
9631;456555
9635;50977
9652;232300
9662;89113
9683;448551
9690;188149
9697;179452
9699;85425
9701;40154
9707;138807
9709;84596
9712;4476
9716;489674
9719;74572
9720;293455
9722;148617
9726;326254
9748;174963
9762;429208
9780;495519
9786;313143
9787;242169
9799;142352
9800;209584
9805;22160
9806;484162
9809;390734
9822;464181
9840;39767
9847;111440
9848;451774
9861;260589
9862;359665
9868;2452
9878;496697
9879;389415
9882;142581
9889;70955
9892;350870
9902;150820
9904;305436
9907;226716
9922;318443
9929;456941
9934;121730
9947;123276
9954;465610
